StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0001,10,1,9
0001,10,2,8
0001,10,3,8
0001,10,4,1
0001,10,5,8
0001,10,6,7
0001,10,7,1
0001,10,8,8
0001,10,9,6
0001,10,10,1
0002,8,1,10
0002,8,2,9
0002,8,3,1
0002,8,4,9
0002,8,5,8
0002,8,6,8
0002,8,7,9
0002,8,8,7
0004,3,1,10
0004,3,2,1
0004,3,3,7
0005,6,1,9
0005,6,2,8
0005,6,3,1
0005,6,4,8
0005,6,5,8
0005,6,6,8
0007,6,1,8
0007,6,2,11
0007,6,3,8
0007,6,4,8
0007,6,5,1
0007,6,6,1
0008,6,1,8
0008,6,2,9
0008,6,3,1
0008,6,4,1
0008,6,5,8
0008,6,6,8
0009,4,1,8
0009,4,2,9
0009,4,3,1
0009,4,4,8
0010,11,1,11
0010,11,2,9
0010,11,3,8
0010,11,4,9
0010,11,5,1
0010,11,6,1
0010,11,7,9
0010,11,8,8
0010,11,9,1
0010,11,10,1
0010,11,11,6
0011,5,1,9
0011,5,2,9
0011,5,3,9
0011,5,4,8
0011,5,5,1
0012,10,1,11
0012,10,2,9
0012,10,3,1
0012,10,4,10
0012,10,5,8
0012,10,6,9
0012,10,7,8
0012,10,8,7
0012,10,9,3
0012,10,10,1
0013,4,1,10
0013,4,2,10
0013,4,3,9
0013,4,4,8
0015,8,1,9
0015,8,2,9
0015,8,3,9
0015,8,4,9
0015,8,5,1
0015,8,6,6
0015,8,7,4
0015,8,8,1
0016,7,1,9
0016,7,2,9
0016,7,3,1
0016,7,4,9
0016,7,5,10
0016,7,6,1
0016,7,7,2
0017,3,1,8
0017,3,2,1
0017,3,3,2
0019,1,1,3
0020,3,1,9
0020,3,2,5
0020,3,3,1
0021,4,1,10
0021,4,2,10
0021,4,3,9
0021,4,4,9
0023,3,1,2
0023,3,2,1
0023,3,3,1
0024,5,1,11
0024,5,2,11
0024,5,3,1
0024,5,4,1
0024,5,5,10
0025,3,1,8
0025,3,2,1
0025,3,3,3
0026,3,1,8
0026,3,2,7
0026,3,3,3
0027,5,1,9
0027,5,2,9
0027,5,3,2
0027,5,4,8
0027,5,5,6
0028,1,1,1
0029,10,1,9
0029,10,2,12
0029,10,3,1
0029,10,4,9
0029,10,5,8
0029,10,6,1
0029,10,7,6
0029,10,8,6
0029,10,9,3
0029,10,10,2
0030,7,1,10
0030,7,2,8
0030,7,3,9
0030,7,4,9
0030,7,5,9
0030,7,6,8
0030,7,7,1
0032,6,1,8
0032,6,2,8
0032,6,3,2
0032,6,4,2
0032,6,5,8
0032,6,6,8
0034,10,1,11
0034,10,2,9
0034,10,3,1
0034,10,4,9
0034,10,5,8
0034,10,6,1
0034,10,7,7
0034,10,8,8
0034,10,9,2
0034,10,10,1
0036,3,1,8
0036,3,2,3
0036,3,3,3
0037,5,1,10
0037,5,2,9
0037,5,3,9
0037,5,4,10
0037,5,5,1
0040,12,1,9
0040,12,2,10
0040,12,3,9
0040,12,4,1
0040,12,5,1
0040,12,6,12
0040,12,7,9
0040,12,8,1
0040,12,9,1
0040,12,10,9
0040,12,11,10
0040,12,12,2
0041,4,1,9
0041,4,2,9
0041,4,3,9
0041,4,4,1
0042,6,1,9
0042,6,2,8
0042,6,3,2
0042,6,4,9
0042,6,5,9
0042,6,6,1
0043,4,1,10
0043,4,2,3
0043,4,3,1
0043,4,4,1
0045,2,1,6
0045,2,2,4
0046,9,1,8
0046,9,2,8
0046,9,3,1
0046,9,4,1
0046,9,5,8
0046,9,6,1
0046,9,7,7
0046,9,8,7
0046,9,9,4
0050,4,1,8
0050,4,2,8
0050,4,3,9
0050,4,4,9
0054,3,1,9
0054,3,2,10
0054,3,3,1
0055,5,1,9
0055,5,2,9
0055,5,3,9
0055,5,4,3
0055,5,5,1
0056,5,1,9
0056,5,2,9
0056,5,3,8
0056,5,4,9
0056,5,5,2
0058,6,1,10
0058,6,2,9
0058,6,3,8
0058,6,4,8
0058,6,5,1
0058,6,6,1
0060,6,1,10
0060,6,2,10
0060,6,3,1
0060,6,4,8
0060,6,5,8
0060,6,6,2
0061,4,1,9
0061,4,2,10
0061,4,3,9
0061,4,4,8
0064,3,1,8
0064,3,2,5
0064,3,3,1
0065,4,1,9
0065,4,2,8
0065,4,3,1
0065,4,4,8
0066,2,1,8
0066,2,2,9
0069,4,1,9
0069,4,2,10
0069,4,3,8
0069,4,4,10
0070,9,1,10
0070,9,2,9
0070,9,3,9
0070,9,4,9
0070,9,5,1
0070,9,6,9
0070,9,7,8
0070,9,8,6
0070,9,9,3
0071,8,1,10
0071,8,2,10
0071,8,3,10
0071,8,4,10
0071,8,5,8
0071,8,6,8
0071,8,7,1
0071,8,8,6
0072,4,1,9
0072,4,2,8
0072,4,3,1
0072,4,4,1
0074,10,1,10
0074,10,2,9
0074,10,3,8
0074,10,4,8
0074,10,5,2
0074,10,6,8
0074,10,7,8
0074,10,8,1
0074,10,9,7
0074,10,10,1
0075,1,1,7
0077,1,1,3
0078,1,1,2
0079,3,1,7
0079,3,2,3
0079,3,3,1
0080,4,1,8
0080,4,2,10
0080,4,3,8
0080,4,4,9
0081,1,1,4
0084,9,1,10
0084,9,2,9
0084,9,3,9
0084,9,4,9
0084,9,5,8
0084,9,6,1
0084,9,7,8
0084,9,8,7
0084,9,9,1
0085,11,1,10
0085,11,2,8
0085,11,3,1
0085,11,4,8
0085,11,5,10
0085,11,6,1
0085,11,7,1
0085,11,8,9
0085,11,9,9
0085,11,10,1
0085,11,11,1
